URL,Content Type,Size (bytes),# of outlinks
"https://www.latimes.com/california/story/2020-01-25/cabbies-hit-by-laxit-pickup-squeeze-are-planning-their-own-exit
","text/html
","194441
","128
"
"https://www.latimes.com/archives/la-xpm-1999-apr-09-ca-25571-story.html
","text/html
","219540
","141
"
"https://www.latimes.com/opinion/about-the-times-editorial-board
","text/html
","269691
","150
"
"https://www.latimes.com/science/story/2022-02-16/more-covid-rules-fall-as-cdc-hints-at-better-times-ahead
","text/html
","272987
","155
"
"https://www.latimes.com/business/technology
","text/html
","284226
","177
"
"https://www.latimes.com/environment/newsletter/2021-02-04/bay-area-cities-have-banned-gas-to-fight-climate-change-but-not-los-angeles-boiling-point
","text/html
","274857
","136
"
"https://www.latimes.com/home/hometours/la-hm-shiell-house-20150801-story.html
","text/html
","275648
","165
"
"https://www.latimes.com/sports/lakers
","text/html
","309830
","147
"
"https://www.latimes.com/podcasts/the-envelope-podcast
","text/html
","404758
","181
"
"https://www.latimes.com/food
","text/html
","248117
","152
"
"https://www.latimes.com/opinion/story/2022-02-16/mask-mandates-garcetti-super-bowl
","text/html
","251243
","148
"
"https://www.latimes.com/entertainment-arts/business/story/2022-02-15/super-bowl-ratings
","text/html
","256658
","150
"
"https://www.latimes.com/sports/story/2022-02-16/socal-sahith-theegala-pepperdine-pga-fans-phoenix-open-genesis-invitational
","text/html
","330496
","150
"
"https://www.latimes.com/lifestyle/story/2020-02-05/tour-lawrence-welks-midcentury-modern-pad-at-modernism-week-in-palm-springs
","text/html
","277623
","149
"
"https://www.latimes.com/entertainment-arts/business/story/2022-02-16/joe-rogan-100-million-richard-pryor-0-what-comic-suits-against-streamers-say-about-a-deeply-flawed-model
","text/html
","276954
","141
"
"https://www.latimes.com/california/story/2022-02-15/lausd-supt-alberto-carvalho-starts-job-after-years-in-miami
","text/html
","352785
","179
"
"https://www.latimes.com/politics/story/2021-12-16/clash-of-the-kitchens-california-leads-the-way-in-a-new-climate-battleground
","text/html
","179051
","124
"
